blk_no,street,max_floor_lvl,year_completed,towns,address,postalcode,latitude,longitude,distance_km,nearest_mrt
17,LOR 7 TOA PAYOH,20,1970,TAMPINES,17 LOR 7 TOA PAYOH,310017,1.33642660399461,103.85660811051,1.1,TOA PAYOH MRT STATION
17,MARINE TER,16,1974,MARINE PARADE,17 MARINE TER,440017,1.30376782197877,103.914176046886,1.9,KEMBANGAN MRT STATION
17,MARSILING LANE,14,1975,WOODLANDS,17 MARSILING LANE,730017,1.44267823126467,103.77772450872,1.0,WOODLANDS NORTH MRT STATION
17,SENG POH RD,4,1949,BUKIT MERAH,17 SENG POH RD,161017,1.28529691796456,103.833235327463,0.2,HAVELOCK MRT STATION
17,ST. GEORGE'S RD,4,1984,KALLANG/WHAMPOA,17 ST. GEORGE'S RD,320017,1.32390529731655,103.862384547944,0.7,BOON KENG MRT STATION
17,TECK WHYE LANE,13,1980,CHOA CHU KANG,17 TECK WHYE LANE,680017,1.37919759061172,103.753933666216,0.3,TECK WHYE LRT STATION
17,TELOK BLANGAH CRES,30,2000,BUKIT MERAH,17 TELOK BLANGAH CRES,090017,1.27776786253278,103.821702419401,1.1,TIONG BAHRU MRT STATION
17,TIONG BAHRU RD,4,1949,BUKIT MERAH,17 TIONG BAHRU RD,163017,1.28561526398792,103.833116272886,0.1,HAVELOCK MRT STATION
17,TOH YI DR,14,1988,BUKIT TIMAH,17 TOH YI DR,590017,1.33976904024065,103.772556110778,0.4,BEAUTY WORLD MRT STATION
17A,CIRCUIT RD,19,2015,GEYLANG,17A CIRCUIT RD,371017,1.32989202076676,103.888112904804,0.4,MACPHERSON MRT STATION
17A,TELOK BLANGAH CRES,30,2000,BUKIT MERAH,17A TELOK BLANGAH CRES,091017,1.27738260692574,103.821603980031,1.1,TIONG BAHRU MRT STATION
17B,CIRCUIT RD,19,2015,GEYLANG,17B CIRCUIT RD,372017,1.32994002346249,103.889189084492,0.4,MACPHERSON MRT STATION
170,ANG MO KIO AVE 4,10,1980,ANG MO KIO,170 ANG MO KIO AVE 4,560170,1.37400071781295,103.83643153142,0.1,MAYFLOWER MRT STATION
170,BEDOK STH RD,12,1985,BEDOK,170 BEDOK STH RD,460170,1.32072011243993,103.946111070113,0.7,TANAH MERAH MRT STATION
170,BISHAN ST 13,8,1986,BISHAN,170 BISHAN ST 13,570170,1.34642029733671,103.853592501555,0.6,BISHAN MRT STATION
170,BT BATOK WEST AVE 8,25,1985,BUKIT BATOK,170 BT BATOK WEST AVE 8,650170,1.34655585025652,103.740101500639,0.9,CHINESE GARDEN MRT STATION
170,GANGSA RD,22,1996,BUKIT PANJANG,170 GANGSA RD,670170,1.37856275551968,103.766097785672,0.1,PETIR LRT STATION
170,HOUGANG AVE 1,14,1996,HOUGANG,170 HOUGANG AVE 1,530170,1.35146345874372,103.889319373277,1.1,KOVAN MRT STATION
170,LOR 1 TOA PAYOH,12,1972,TAMPINES,170 LOR 1 TOA PAYOH,310170,1.33131927016888,103.842668711023,0.6,TOA PAYOH MRT STATION
170,STIRLING RD,16,1970,QUEENSTOWN,170 STIRLING RD,140170,1.29091128182876,103.803120797076,0.5,QUEENSTOWN MRT STATION
170,WOODLANDS ST 11,12,1984,WOODLANDS,170 WOODLANDS ST 11,730170,1.43363472515023,103.776294092675,0.2,MARSILING MRT STATION
170,YISHUN AVE 7,16,1986,YISHUN,170 YISHUN AVE 7,760170,1.43709558093348,103.832777533108,0.8,CANBERRA MRT STATION
170A,PUNGGOL FIELD,18,2012,PUNGGOL,170A PUNGGOL FIELD,821170,1.39356094752398,103.914860704891,0.2,RIVIERA LRT STATION
170A,SENGKANG EAST DR,17,2023,SENGKANG,170A SENGKANG EAST DR,541170,1.3864108050086,103.908822177398,0.4,BAKAU LRT STATION
170B,PUNGGOL FIELD,18,2012,PUNGGOL,170B PUNGGOL FIELD,822170,1.39333774612629,103.914700909157,0.2,RIVIERA LRT STATION
170B,SENGKANG EAST DR,17,2023,SENGKANG,170B SENGKANG EAST DR,542170,1.38671838587829,103.909029340508,0.4,BAKAU LRT STATION
170C,PUNGGOL FIELD,18,2012,PUNGGOL,170C PUNGGOL FIELD,823170,1.39310784191806,103.914546399185,0.2,RIVIERA LRT STATION
171,ANG MO KIO AVE 4,16,1981,ANG MO KIO,171 ANG MO KIO AVE 4,560171,1.37473291237038,103.835682669212,0.2,MAYFLOWER MRT STATION
171,BEDOK STH RD,12,1985,BEDOK,171 BEDOK STH RD,460171,1.32089676770365,103.945428720471,0.7,TANAH MERAH MRT STATION
171,BISHAN ST 13,11,1986,BISHAN,171 BISHAN ST 13,570171,1.34678777068608,103.853709975879,0.6,BISHAN MRT STATION
171,BT BATOK WEST AVE 8,25,1984,BUKIT BATOK,171 BT BATOK WEST AVE 8,650171,1.34610021179301,103.740229621691,0.9,CHINESE GARDEN MRT STATION
171,GANGSA RD,22,1996,BUKIT PANJANG,171 GANGSA RD,670171,1.37896953663304,103.766375003722,0.2,PETIR LRT STATION
171,HOUGANG AVE 1,14,1996,HOUGANG,171 HOUGANG AVE 1,530171,1.35113637322024,103.889168968814,1.1,KOVAN MRT STATION
171,LOR 1 TOA PAYOH,23,1994,TAMPINES,171 LOR 1 TOA PAYOH,310171,1.33068534910935,103.842659017362,0.6,TOA PAYOH MRT STATION
171,STIRLING RD,14,1970,QUEENSTOWN,171 STIRLING RD,140171,1.29073246202285,103.803846934678,0.5,QUEENSTOWN MRT STATION
171,WOODLANDS ST 11,10,1984,WOODLANDS,171 WOODLANDS ST 11,730171,1.43397497861501,103.776526806695,0.3,MARSILING MRT STATION
171,YISHUN AVE 7,13,1986,YISHUN,171 YISHUN AVE 7,760171,1.43691621022976,103.832132015264,0.8,CANBERRA MRT STATION
171A,EDGEDALE PLAINS,18,2002,PUNGGOL,171A EDGEDALE PLAINS,821171,1.39463078246783,103.912293852531,0.1,CORAL EDGE LRT STATION
171A,SENGKANG EAST DR,18,2023,SENGKANG,171A SENGKANG EAST DR,541171,1.38661247886524,103.909855053971,0.5,BAKAU LRT STATION
171B,EDGEDALE PLAINS,18,2002,PUNGGOL,171B EDGEDALE PLAINS,822171,1.39497731786872,103.912717529753,0.1,CORAL EDGE LRT STATION
171B,SENGKANG EAST DR,18,2023,SENGKANG,171B SENGKANG EAST DR,542171,1.38649460668322,103.910281085225,0.6,BAKAU LRT STATION
171C,EDGEDALE PLAINS,18,2002,PUNGGOL,171C EDGEDALE PLAINS,823171,1.39477528915174,103.913436803622,0.1,CORAL EDGE LRT STATION
172,ANG MO KIO AVE 4,10,1980,ANG MO KIO,172 ANG MO KIO AVE 4,560172,1.37469423247424,103.836462867365,0.2,MAYFLOWER MRT STATION
172,BEDOK STH RD,12,1985,BEDOK,172 BEDOK STH RD,460172,1.32066917100909,103.94468952936,0.7,TANAH MERAH MRT STATION
172,BISHAN ST 13,8,1986,BISHAN,172 BISHAN ST 13,570172,1.34748317620022,103.85354374139,0.5,BISHAN MRT STATION
172,BT BATOK WEST AVE 8,25,1984,BUKIT BATOK,172 BT BATOK WEST AVE 8,650172,1.34566903930041,103.740480275142,0.9,CHINESE GARDEN MRT STATION
172,GANGSA RD,22,1996,BUKIT PANJANG,172 GANGSA RD,670172,1.37944526563634,103.766667077399,0.2,PETIR LRT STATION
172,HOUGANG AVE 1,13,1996,HOUGANG,172 HOUGANG AVE 1,530172,1.35057934440741,103.889495942165,1.2,KOVAN MRT STATION
172,LOR 1 TOA PAYOH,25,1994,TAMPINES,172 LOR 1 TOA PAYOH,310172,1.33035489391143,103.843053387382,0.5,TOA PAYOH MRT STATION
172,WOODLANDS ST 13,13,1984,WOODLANDS,172 WOODLANDS ST 13,730172,1.43398859274828,103.777490482198,0.4,MARSILING MRT STATION
172,YISHUN AVE 7,13,1986,YISHUN,172 YISHUN AVE 7,760172,1.43660111000642,103.83109095206,0.8,CANBERRA MRT STATION
172A,EDGEDALE PLAINS,18,2003,PUNGGOL,172A EDGEDALE PLAINS,821172,1.39533467975268,103.911433937342,0.2,CORAL EDGE LRT STATION
172A,LOR 1 TOA PAYOH,6,1993,TAMPINES,172A LOR 1 TOA PAYOH,311172,1.33026993932136,103.842540247429,0.6,TOA PAYOH MRT STATION
172A,SENGKANG EAST DR,18,2023,SENGKANG,172A SENGKANG EAST DR,541172,1.38706757312473,103.910117432186,0.5,BAKAU LRT STATION
172B,EDGEDALE PLAINS,18,2003,PUNGGOL,172B EDGEDALE PLAINS,822172,1.39572402116348,103.91180535741,0.2,CORAL EDGE LRT STATION
172B,SENGKANG EAST DR,18,2023,SENGKANG,172B SENGKANG EAST DR,542172,1.38714243993422,103.910406140367,0.6,BAKAU LRT STATION
172C,EDGEDALE PLAINS,18,2003,PUNGGOL,172C EDGEDALE PLAINS,823172,1.39544457659291,103.912465385663,0.2,CORAL EDGE LRT STATION
172C,SENGKANG EAST DR,18,2023,SENGKANG,172C SENGKANG EAST DR,543172,1.3875348639202,103.910675506622,0.6,BAKAU LRT STATION
172D,SENGKANG EAST DR,18,2023,SENGKANG,172D SENGKANG EAST DR,544172,1.38753456826625,103.910908830315,0.6,BAKAU LRT STATION
173,ANG MO KIO AVE 4,13,1981,ANG MO KIO,173 ANG MO KIO AVE 4,560173,1.37531353711244,103.836245672487,0.2,MAYFLOWER MRT STATION
173,BISHAN ST 13,21,1986,BISHAN,173 BISHAN ST 13,570173,1.3477511871809,103.854258267311,0.6,BISHAN MRT STATION
173,BT BATOK WEST AVE 8,4,1984,BUKIT BATOK,173 BT BATOK WEST AVE 8,650173,1.34610499318053,103.740825524725,1.0,CHINESE GARDEN MRT STATION
173,GANGSA RD,20,1996,BUKIT PANJANG,173 GANGSA RD,670173,1.37992941455809,103.766762151697,0.3,PETIR LRT STATION
173,HOUGANG AVE 1,14,1996,HOUGANG,173 HOUGANG AVE 1,530173,1.3501246547491,103.888838230371,1.2,KOVAN MRT STATION
173,LOR 1 TOA PAYOH,12,1972,TAMPINES,173 LOR 1 TOA PAYOH,310173,1.33000819866672,103.842532936051,0.6,TOA PAYOH MRT STATION
173,WOODLANDS ST 13,10,1984,WOODLANDS,173 WOODLANDS ST 13,730173,1.43296723097781,103.777807451472,0.4,MARSILING MRT STATION
173,YISHUN AVE 7,12,1986,YISHUN,173 YISHUN AVE 7,760173,1.43706628204098,103.831120689838,0.7,CANBERRA MRT STATION
173A,PUNGGOL FIELD,17,2002,PUNGGOL,173A PUNGGOL FIELD,821173,1.39701308622338,103.909354092412,0.1,MERIDIAN LRT STATION
173A,SENGKANG EAST DR,18,2023,SENGKANG,173A SENGKANG EAST DR,541173,1.38744424893044,103.91139421451,0.7,BAKAU LRT STATION
173B,PUNGGOL FIELD,17,2001,PUNGGOL,173B PUNGGOL FIELD,822173,1.3965502672863,103.910063026454,0.1,MERIDIAN LRT STATION
173B,SENGKANG EAST DR,18,2023,SENGKANG,173B SENGKANG EAST DR,542173,1.3873287521802,103.911836970001,0.7,BAKAU LRT STATION
173C,PUNGGOL FIELD,17,2001,PUNGGOL,173C PUNGGOL FIELD,823173,1.39618540563029,103.910561898211,0.2,MERIDIAN LRT STATION
173C,SENGKANG EAST DR,18,2023,SENGKANG,173C SENGKANG EAST DR,543173,1.3868861800729,103.911597949015,0.7,BAKAU LRT STATION
173D,PUNGGOL FIELD,17,2001,PUNGGOL,173D PUNGGOL FIELD,824173,1.39600799204919,103.910764686722,0.2,MERIDIAN LRT STATION
173D,SENGKANG EAST DR,18,2023,SENGKANG,173D SENGKANG EAST DR,544173,1.38677287003767,103.912362148229,0.8,BAKAU LRT STATION
174,ANG MO KIO AVE 4,11,1980,ANG MO KIO,174 ANG MO KIO AVE 4,560174,1.37509746867904,103.83761896123,0.2,MAYFLOWER MRT STATION
174,BISHAN ST 13,4,1986,BISHAN,174 BISHAN ST 13,570174,1.34820799489001,103.854277011221,0.6,BISHAN MRT STATION
174,BOON LAY DR,11,1974,JURONG WEST,174 BOON LAY DR,640174,1.34624968110858,103.709387013109,0.9,BOON LAY MRT STATION
